id,memberId,entryTime,qrToken,createdAt,status,userAgent,deviceBrand,deviceModel,deviceOS
"cmt2vlatt000116zhisc85p39","cmt1wzns60000ipge23uphk21","2026-08-21T11:38:12.113Z","670aebfbc96034c0235fe28ce75a7bb7fc4f155b39b2154f6df7e2e424579da7","2026-08-21T11:38:12.113Z","ALLOWED",,,,
"cmt4c84at000310tqme7ps2rt","cmt1wzns60000ipge23uphk21","2026-08-22T12:11:36.773Z","2e74cf4c799794e35613cda508857803befc786d3f31253a1c7c34f24333d63e","2026-08-22T12:11:36.773Z","ALLOWED",,,,
"cmt4d0brr0007y5uy3b8q8ikx","cmt1x6v2j0001ipgev3k6mz9l","2026-08-22T12:33:32.823Z","754d879ee6aee6aacf3efd9a8b976e414df8b3b3195f9b4e4e89bf69e08a5951","2026-08-22T12:33:32.823Z","ALLOWED",,,,
"cmt962pcl0001u2iglue3r9ms","cmt1wzns60000ipge23uphk21","2026-08-25T21:18:17.301Z","2b5e6cde19d0a8c6a08f1de001035174333dda072547325676ab1cf32e4a11bd","2026-08-25T21:18:17.301Z","ALLOWED",,,,
"cmtbmyt2q0001qovld57kkjij","cmt1wzns60000ipge23uphk21","2026-08-27T14:46:41.330Z","91ec7cf80725f13fc77f830e98cedd390aab9f699866bc7112907cea5e7e4559","2026-08-27T14:46:41.330Z","ALLOWED",,,,
"cmtbrw6j600013qjcorgga71h","cmt1x6v2j0001ipgev3k6mz9l","2026-08-27T17:04:49.657Z","525b1acf156a05b1a6e2cf7f1c3ad3de20e787dddfc55d233e7d6296a3e42140","2026-08-27T17:04:36.882Z","ALLOWED",,,,
"cmtbz47rr0001f5q4d1z0mbgd","cmt1wzns60000ipge23uphk21","2026-08-27T20:27:32.769Z","dceb922d78b0583e8c05d5c754db2963479adafd3ba6a828b88ee5555ba9d44c","2026-08-27T20:26:49.047Z","ALLOWED",,,,
"cmtc1c3f200019dlkvbhcxjkf","cmt1wzns60000ipge23uphk21","2026-08-27T21:29:15.709Z","15ae2fae33f3a077a28155c2ab4a82bdd12554631cd1389fac0134a8defe9501","2026-08-27T21:28:55.886Z","ALLOWED","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36",,"K","Android 10"
"cmtc1fp3f0001yps3aq9l0ic7","cmt1x6v2j0001ipgev3k6mz9l","2026-08-27T21:32:12.336Z","ba4c383f4326116c78e44b5d2b0e4d981c00028824328a6137c7e2c3038ead26","2026-08-27T21:31:43.947Z","ALLOWED","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36",,"K","Android 10"
"cmtc228r70001d6bu6rclw8ow","cmt1wzns60000ipge23uphk21","2026-08-27T21:49:27.630Z","2215af92cdfbfdc648b54485ded72a30ba7221dc9fd4af4c78d541aec9b86fe6","2026-08-27T21:49:15.860Z","ALLOWED","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36",,"K","Android 10"
"cmtc26ee90001f3n5swd3a5st","cmt1x6v2j0001ipgev3k6mz9l","2026-08-27T21:53:00.758Z","1221dbc8e16bac7e56a4e0be4cefdad5956aec05ce559982e88cc30357498026","2026-08-27T21:52:29.793Z","ALLOWED","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36",,"K","Android 10"
"cmtc2cpi40001yxsekdse6pto","cmt1wzns60000ipge23uphk21","2026-08-27T21:57:36.562Z","f5f85ec12a649b0568c830e6b204523cbd01608fa5ea059fcba43fd57d4c6794","2026-08-27T21:57:24.124Z","ALLOWED","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36","Google Chrome","moto g04s","Android 14.0.0"
"cmtc2xhou0001fqsdkpv6j53b","cmt1x6v2j0001ipgev3k6mz9l","2026-08-27T22:14:50.904Z","a590d3c04a16aee83df1fccf1a476db7e0dcd30b47815c75e2fb973a94a79127","2026-08-27T22:13:33.775Z","ALLOWED","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36","Google Chrome","motorola one fusion","Android 11.0.0"
