id,routineId,exerciseId,memberId,sessionLogId,setsCompleted,repsCompleted,weightUsed,notes,date
"cmt7rrkrx000drow1ukuxzwuo","cmt63fqxq0001cnwqlbdudtt7","cmt1wciyw00009yldzko8mc88","cmt1wzns60000ipge23uphk21","cmt7rrcij000brow1pmhfrfdy","1","10","80",,"2026-08-24T21:49:57.358Z"
"cmt7rrne1000frow1qtm6d1fq","cmt63fqxq0001cnwqlbdudtt7","cmt1wciyw00009yldzko8mc88","cmt1wzns60000ipge23uphk21","cmt7rrcij000brow1pmhfrfdy","1","10","80",,"2026-08-24T21:50:00.629Z"
"cmt7rrpwr000hrow1hk7p75vg","cmt63fqxq0001cnwqlbdudtt7","cmt1wciyw00009yldzko8mc88","cmt1wzns60000ipge23uphk21","cmt7rrcij000brow1pmhfrfdy","1","10","80",,"2026-08-24T21:50:04.012Z"
"cmt964h630003dabvel867di0","cmt63fqxq0001cnwqlbdudtt7","cmt1wck2g000e9yld4xr43xd3","cmt1wzns60000ipge23uphk21","cmt963x6r0001dabvg1j42ty7","1","10","50",,"2026-08-25T21:19:40.011Z"
"cmt9650an0005dabvz4zvz1pp","cmt63fqxq0001cnwqlbdudtt7","cmt1wck2g000e9yld4xr43xd3","cmt1wzns60000ipge23uphk21","cmt963x6r0001dabvg1j42ty7","1","10","50",,"2026-08-25T21:20:04.800Z"
"cmt96541y0007dabvw90ugik0","cmt63fqxq0001cnwqlbdudtt7","cmt1wck2g000e9yld4xr43xd3","cmt1wzns60000ipge23uphk21","cmt963x6r0001dabvg1j42ty7","1","10","50",,"2026-08-25T21:20:09.671Z"
"cmt965baq0009dabvkbrciwn3","cmt63fqxq0001cnwqlbdudtt7","cmt33as87009iypj1w4df4hbw","cmt1wzns60000ipge23uphk21","cmt963x6r0001dabvg1j42ty7","1","10","20",,"2026-08-25T21:20:19.059Z"
"cmt965dti000bdabvxy1mjnnx","cmt63fqxq0001cnwqlbdudtt7","cmt33as87009iypj1w4df4hbw","cmt1wzns60000ipge23uphk21","cmt963x6r0001dabvg1j42ty7","1","10","20",,"2026-08-25T21:20:22.327Z"
"cmt965g93000ddabvocu09wxl","cmt63fqxq0001cnwqlbdudtt7","cmt33as87009iypj1w4df4hbw","cmt1wzns60000ipge23uphk21","cmt963x6r0001dabvg1j42ty7","1","10","20",,"2026-08-25T21:20:25.479Z"
"cmt96ugd600011i0urz9s28xs","cmt63fqxq0001cnwqlbdudtt7","cmt1wck7k000g9ylds1f74e5f","cmt1wzns60000ipge23uphk21","cmt963x6r0001dabvg1j42ty7","1","10","10",,"2026-08-25T21:39:52.027Z"
"cmt96uixc00031i0ugl66ku8u","cmt63fqxq0001cnwqlbdudtt7","cmt1wck7k000g9ylds1f74e5f","cmt1wzns60000ipge23uphk21","cmt963x6r0001dabvg1j42ty7","1","10","10",,"2026-08-25T21:39:55.345Z"
"cmt96ulr300051i0ussie7p6b","cmt63fqxq0001cnwqlbdudtt7","cmt1wck7k000g9ylds1f74e5f","cmt1wzns60000ipge23uphk21","cmt963x6r0001dabvg1j42ty7","1","10","10",,"2026-08-25T21:39:59.008Z"
"cmt96utjf00071i0ujo33lpr4","cmt63fqxq0001cnwqlbdudtt7","cmt1wckgy000k9yld3uhbxcmz","cmt1wzns60000ipge23uphk21","cmt963x6r0001dabvg1j42ty7","1","10","10",,"2026-08-25T21:40:09.099Z"
"cmt96uyjt00091i0uuqi3mbwc","cmt63fqxq0001cnwqlbdudtt7","cmt1wckgy000k9yld3uhbxcmz","cmt1wzns60000ipge23uphk21","cmt963x6r0001dabvg1j42ty7","1","10","10",,"2026-08-25T21:40:15.593Z"
