id,routineId,sessionNumber,weekNumber,dayOfWeek,dayName,order,createdAt
"cmt3a4enr00u0i83bh8lnb5oi","cmt3a4enq00tzi83bm1lb8781","1","1","1","Sesión 1","0","2026-08-21T18:24:58.167Z"
"cmt3a4enr00u3i83bhox5x2v3","cmt3a4enq00tzi83bm1lb8781","2","1","2","Sesión 2","1","2026-08-21T18:24:58.167Z"
"cmt3a4enr00u6i83bqepgkq48","cmt3a4enq00tzi83bm1lb8781","3","1","3","Sesión 3","2","2026-08-21T18:24:58.167Z"
"cmt3a4enr00u9i83bg45c0ih6","cmt3a4enq00tzi83bm1lb8781","4","2","1","Sesión 4","3","2026-08-21T18:24:58.167Z"
"cmt3a4enr00uci83bw5cg3eis","cmt3a4enq00tzi83bm1lb8781","5","2","2","Sesión 5","4","2026-08-21T18:24:58.167Z"
"cmt3a4enr00ufi83bah690mkn","cmt3a4enq00tzi83bm1lb8781","6","2","3","Sesión 6","5","2026-08-21T18:24:58.167Z"
"cmt3a4enr00uii83b6427ltoj","cmt3a4enq00tzi83bm1lb8781","7","3","1","Sesión 7","6","2026-08-21T18:24:58.167Z"
"cmt3a4enr00uli83b6bzabeiq","cmt3a4enq00tzi83bm1lb8781","8","3","2","Sesión 8","7","2026-08-21T18:24:58.167Z"
"cmt3a4enr00uoi83bats49ndc","cmt3a4enq00tzi83bm1lb8781","9","3","3","Sesión 9","8","2026-08-21T18:24:58.167Z"
"cmt3a4enr00uri83boyq36kuy","cmt3a4enq00tzi83bm1lb8781","10","4","1","Sesión 10","9","2026-08-21T18:24:58.167Z"
"cmt3a4enr00uui83b0xazmsrm","cmt3a4enq00tzi83bm1lb8781","11","4","2","Sesión 11","10","2026-08-21T18:24:58.167Z"
"cmt3a4enr00uxi83b4pqlqukv","cmt3a4enq00tzi83bm1lb8781","12","4","3","Sesión 12","11","2026-08-21T18:24:58.167Z"
"cmt5vt5tm0066y6cpybofvrx5","cmt5vt5tl0065y6cp09mr7bb5","1","1","1","Sesión 1","0","2026-08-23T14:07:37.401Z"
"cmt5vt5tm006fy6cpjuxio45b","cmt5vt5tl0065y6cp09mr7bb5","2","1","2","Sesión 2","1","2026-08-23T14:07:37.401Z"
"cmt5vt5tm006oy6cpepbd3pun","cmt5vt5tl0065y6cp09mr7bb5","3","1","3","Sesión 3","2","2026-08-23T14:07:37.401Z"
"cmt5vt5tn006xy6cpx397pden","cmt5vt5tl0065y6cp09mr7bb5","4","2","1","Sesión 4","3","2026-08-23T14:07:37.401Z"
"cmt5vt5tn0076y6cpz69ludbt","cmt5vt5tl0065y6cp09mr7bb5","5","2","2","Sesión 5","4","2026-08-23T14:07:37.401Z"
"cmt5vt5tn007fy6cpd9yyq4cw","cmt5vt5tl0065y6cp09mr7bb5","6","2","3","Sesión 6","5","2026-08-23T14:07:37.401Z"
"cmt5vt5tn007oy6cpt23k6zld","cmt5vt5tl0065y6cp09mr7bb5","7","3","1","Sesión 7","6","2026-08-23T14:07:37.401Z"
"cmt5vt5tn007xy6cpuj7h4eqh","cmt5vt5tl0065y6cp09mr7bb5","8","3","2","Sesión 8","7","2026-08-23T14:07:37.401Z"
"cmt5vt5to0086y6cpynbn58m5","cmt5vt5tl0065y6cp09mr7bb5","9","3","3","Sesión 9","8","2026-08-23T14:07:37.401Z"
"cmt5vt5to008fy6cpmtt204d3","cmt5vt5tl0065y6cp09mr7bb5","10","4","1","Sesión 10","9","2026-08-23T14:07:37.401Z"
"cmt5vt5to008oy6cpiy97igis","cmt5vt5tl0065y6cp09mr7bb5","11","4","2","Sesión 11","10","2026-08-23T14:07:37.401Z"
"cmt5vt5to008xy6cpnaxbnpec","cmt5vt5tl0065y6cp09mr7bb5","12","4","3","Sesión 12","11","2026-08-23T14:07:37.401Z"
"cmt5yanqe000011joz2axe52o","cmt5y91hl000114os8xdttz0f","1","1","1","Sesión 1","0","2026-08-23T15:17:12.996Z"
"cmt5yanqe000a11jogqzycag3","cmt5y91hl000114os8xdttz0f","2","1","2","Sesión 2","1","2026-08-23T15:17:12.996Z"
"cmt5yanqf000i11joyvozdkhl","cmt5y91hl000114os8xdttz0f","3","1","3","Sesión 3","2","2026-08-23T15:17:12.996Z"
"cmt5yanqf000r11jor5276o79","cmt5y91hl000114os8xdttz0f","4","2","1","Sesión 4","3","2026-08-23T15:17:12.996Z"
"cmt5yanqf001111jo2c4smfua","cmt5y91hl000114os8xdttz0f","5","2","2","Sesión 5","4","2026-08-23T15:17:12.996Z"
"cmt5yanqf001911jo4shxw74p","cmt5y91hl000114os8xdttz0f","6","2","3","Sesión 6","5","2026-08-23T15:17:12.996Z"
"cmt5yanqg001i11jotkbfr3jo","cmt5y91hl000114os8xdttz0f","7","3","1","Sesión 7","6","2026-08-23T15:17:12.996Z"
"cmt5yanqg001s11jo7rlv07v9","cmt5y91hl000114os8xdttz0f","8","3","2","Sesión 8","7","2026-08-23T15:17:12.996Z"
"cmt5yanqg002011joukym33i4","cmt5y91hl000114os8xdttz0f","9","3","3","Sesión 9","8","2026-08-23T15:17:12.996Z"
"cmt5yanqg002911jo6g5n4zk9","cmt5y91hl000114os8xdttz0f","10","4","1","Sesión 10","9","2026-08-23T15:17:12.996Z"
"cmt5yanqh002j11jojtszo3a4","cmt5y91hl000114os8xdttz0f","11","4","2","Sesión 11","10","2026-08-23T15:17:12.996Z"
"cmt5yanqh002r11joj5gw1pmz","cmt5y91hl000114os8xdttz0f","12","4","3","Sesión 12","11","2026-08-23T15:17:12.996Z"
"cmt60ceee0000unzxtore3qcs","cmt5vv54z0097y6cp0ekcuhq2","1","1","1","Sesión 1","0","2026-08-23T16:14:33.445Z"
"cmt60ceef0009unzxe7pci1qz","cmt5vv54z0097y6cp0ekcuhq2","2","1","2","Sesión 2","1","2026-08-23T16:14:33.445Z"
"cmt60ceef000iunzxwsn2luku","cmt5vv54z0097y6cp0ekcuhq2","3","1","3","Sesión 3","2","2026-08-23T16:14:33.445Z"
"cmt60ceef000runzxqvmkre2q","cmt5vv54z0097y6cp0ekcuhq2","4","2","1","Sesión 4","3","2026-08-23T16:14:33.445Z"
"cmt60ceeg0010unzxlatqkqov","cmt5vv54z0097y6cp0ekcuhq2","5","2","2","Sesión 5","4","2026-08-23T16:14:33.445Z"
"cmt60ceeg0019unzxe7burcve","cmt5vv54z0097y6cp0ekcuhq2","6","2","3","Sesión 6","5","2026-08-23T16:14:33.445Z"
"cmt60ceeg001iunzxinoei4d2","cmt5vv54z0097y6cp0ekcuhq2","7","3","1","Sesión 7","6","2026-08-23T16:14:33.445Z"
"cmt60ceeg001runzxuo35g7tc","cmt5vv54z0097y6cp0ekcuhq2","8","3","2","Sesión 8","7","2026-08-23T16:14:33.445Z"
"cmt60ceeh0020unzxcc5vu2ss","cmt5vv54z0097y6cp0ekcuhq2","9","3","3","Sesión 9","8","2026-08-23T16:14:33.445Z"
"cmt60ceeh0029unzx22dn2ijw","cmt5vv54z0097y6cp0ekcuhq2","10","4","1","Sesión 10","9","2026-08-23T16:14:33.445Z"
"cmt60ceeh002iunzxieoeyah3","cmt5vv54z0097y6cp0ekcuhq2","11","4","2","Sesión 11","10","2026-08-23T16:14:33.445Z"
"cmt60ceeh002runzxwwj2b33u","cmt5vv54z0097y6cp0ekcuhq2","12","4","3","Sesión 12","11","2026-08-23T16:14:33.445Z"
"cmt63fqxr0002cnwquzz28r3n","cmt63fqxq0001cnwqlbdudtt7","1","1","1","Sesión 1","0","2026-08-23T17:41:08.510Z"
"cmt63fqxr000bcnwq9ko6cfos","cmt63fqxq0001cnwqlbdudtt7","2","1","2","Sesión 2","1","2026-08-23T17:41:08.510Z"
"cmt63fqxs000kcnwq34kneumj","cmt63fqxq0001cnwqlbdudtt7","3","1","3","Sesión 3","2","2026-08-23T17:41:08.510Z"
"cmt63fqxs000ucnwq22wibick","cmt63fqxq0001cnwqlbdudtt7","4","2","1","Sesión 4","3","2026-08-23T17:41:08.510Z"
