id,dayId,exerciseId,sets,reps,targetWeight,rest,order,notes
"cmt3a4enr00u2i83bs71pi436","cmt3a4enr00u0i83bh8lnb5oi","cmt1wciyw00009yldzko8mc88","3","10",,"60s","0",
"cmt3a4enr00u5i83be02skrnk","cmt3a4enr00u3i83bhox5x2v3","cmt33as87009iypj1w4df4hbw","3","10",,"60s","0",
"cmt3a4enr00u8i83bf997tbi6","cmt3a4enr00u6i83bqepgkq48","cmt1wcl3l000t9yldu1yg9vwg","3","10",,"60s","0",
"cmt3a4enr00ubi83b178qy0ma","cmt3a4enr00u9i83bg45c0ih6","cmt1wciyw00009yldzko8mc88","3","10",,"60s","0",
"cmt3a4enr00uei83bh6vh2vmt","cmt3a4enr00uci83bw5cg3eis","cmt33as87009iypj1w4df4hbw","3","10",,"60s","0",
"cmt3a4enr00uhi83brwwarbnt","cmt3a4enr00ufi83bah690mkn","cmt1wcl3l000t9yldu1yg9vwg","3","10",,"60s","0",
"cmt3a4enr00uki83bgo0mbhjn","cmt3a4enr00uii83b6427ltoj","cmt1wciyw00009yldzko8mc88","3","10",,"60s","0",
"cmt3a4enr00uni83bvztl5v33","cmt3a4enr00uli83b6bzabeiq","cmt33as87009iypj1w4df4hbw","3","10",,"60s","0",
"cmt3a4enr00uqi83bxlp4wdf9","cmt3a4enr00uoi83bats49ndc","cmt1wcl3l000t9yldu1yg9vwg","3","10",,"60s","0",
"cmt3a4enr00uti83bb9bonuto","cmt3a4enr00uri83boyq36kuy","cmt1wciyw00009yldzko8mc88","3","10",,"60s","0",
"cmt3a4enr00uwi83bqfqoag06","cmt3a4enr00uui83b0xazmsrm","cmt33as87009iypj1w4df4hbw","3","10",,"60s","0",
"cmt3a4enr00uzi83bimg8vy98","cmt3a4enr00uxi83b4pqlqukv","cmt1wcl3l000t9yldu1yg9vwg","3","10",,"60s","0",
"cmt5vt5tm0068y6cpmj5khtq3","cmt5vt5tm0066y6cpybofvrx5","cmt1wciyw00009yldzko8mc88","3","10",,"60s","0",
