id,activityId,date,startTime,endTime,trainerId,room,maxCapacity,isCancelled,isHoliday
"cmt325ylc0001mdzxygzjz6ft","cmt26yowp0000eh87uffjivvg","2026-08-24T00:00:00.000Z","08:00","09:00",,,"20","false","false"
"cmt327clr0003mdzxtrxhf5w7","cmt270ay10001eh87zwft7r2a","2026-08-24T00:00:00.000Z","10:00","11:00",,,"20","false","false"
"cmt3281vs0005mdzxbe5o29q1","cmt271kg20002eh87zuw3y3wg","2026-08-21T00:00:00.000Z","12:00","13:00",,,"20","false","false"
"cmt328rry0007mdzxk3rh1srp","cmt26yowp0000eh87uffjivvg","2026-08-22T00:00:00.000Z","09:00","10:00",,,"20","false","false"
"cmt3299c10009mdzxuk57tnmn","cmt270ay10001eh87zwft7r2a","2026-08-21T00:00:00.000Z","10:00","11:00",,,"20","false","false"
"cmt32a4fx000bmdzxoazae8xc","cmt270ay10001eh87zwft7r2a","2026-08-22T00:00:00.000Z","10:00","11:00",,,"20","false","false"
"cmt4i7iu4000114037u1vjixy","cmt4eo9250000imfw44g9ur4i","2026-08-24T00:00:00.000Z","08:00","09:00",,"","1","false","false"
"cmt5yztht00031t2rdel5wxpu","cmt26yowp0000eh87uffjivvg","2026-09-04T00:00:00.000Z","07:30","08:30",,,"10","false","false"
"cmt5yzu4j00051t2rcasv7y42","cmt26yowp0000eh87uffjivvg","2026-09-11T00:00:00.000Z","07:30","08:30",,,"10","false","false"
"cmt5yzure00071t2rxobp0gve","cmt26yowp0000eh87uffjivvg","2026-09-18T00:00:00.000Z","07:30","08:30",,,"10","false","false"
"cmt5z62c3000d1t2rofbfwi3d","cmt26yowp0000eh87uffjivvg","2026-09-02T00:00:00.000Z","07:30","08:30",,,"10","false","false"
"cmt5z62yj000f1t2r8frb4jj7","cmt26yowp0000eh87uffjivvg","2026-09-09T00:00:00.000Z","07:30","08:30",,,"10","false","false"
"cmt5z63nz000h1t2rjk8dvlgk","cmt26yowp0000eh87uffjivvg","2026-09-16T00:00:00.000Z","07:30","08:30",,,"10","false","false"
"cmt7uwcqs000144jupkhjhtn1","cmt4eo9250000imfw44g9ur4i","2026-08-25T00:00:00.000Z","08:00","09:00",,"","1","false","false"
"cmt96rbv40001mdhl6ep0t8no","cmt4eo9250000imfw44g9ur4i","2026-08-31T00:00:00.000Z","08:00","09:00",,"","1","false","false"
"cmt5z61q3000b1t2r5597860l","cmt26yowp0000eh87uffjivvg","2026-08-26T00:00:00.000Z","07:30","10:30",,,"10","false","false"
"cmt5yzsuu00011t2resn5b6yi","cmt26yowp0000eh87uffjivvg","2026-08-28T00:00:00.000Z","07:30","10:30",,,"10","false","false"
