index,name,type,muscleGroup,equipment,sourceArray
"37","Elevación de talones","STRENGTH","Pantorrilla","Máquina","exercises"
"292","Elevación de talones","FUNCTIONAL","Pantorrilla","Peso corporal","exercises"
"48","Burpees","CARDIO","Full body","Peso corporal","exercises"
"282","Burpees","FUNCTIONAL","Full body","Peso corporal","exercises"
"53","Turkish get-up","FUNCTIONAL","Full body","Kettlebell","exercises"
"247","Turkish Get Up","FUNCTIONAL","Full body","Kettlebell","exercises"
"65","Gato-vaca","MOBILITY","Espalda","Peso corporal","exercises"
"237","Gato vaca","REHABILITATION","Columna","Peso corporal","exercises"
"334","Gato-vaca","MOBILITY","Columna","Peso corporal","exercises"
"75","Estiramiento de hombros","STRETCHING","Hombros","Peso corporal","exercises"
"153","Estiramiento de hombros","COOLDOWN","Hombros","Peso corporal","exercises"
"78","Estiramiento de espalda","STRETCHING","Espalda","Peso corporal","exercises"
"152","Estiramiento de espalda","COOLDOWN","Espalda","Peso corporal","exercises"
"80","Postura del niño","STRETCHING","Espalda","Peso corporal","exercises"
"109","Postura del Niño","STRETCHING","Espalda","Peso corporal","exercises"
"86","Estiramiento de Glúteos acostado","STRETCHING","Glúteos","Peso corporal","exercises"
"111","Estiramiento de Glúteos acostado","STRETCHING","Glúteos","Peso corporal","exercises"
"92","Rotación de Cuello","STRETCHING","Cuello","Peso corporal","exercises"
"562","Rotación de cuello","MOBILITY","Cuello","Peso corporal","newExercises"
"104","Estiramiento de Isquiotibiales sentado","STRETCHING","Femoral","Peso corporal","exercises"
"107","Estiramiento de Isquiotibiales sentado","STRETCHING","Femoral","Peso corporal","exercises"
"145","Rotaciones de cuello","WARMUP","Cuello","Peso corporal","exercises"
"189","Rotaciones de cuello","REHABILITATION","Cuello","Peso corporal","exercises"
"147","Caminata de oso","WARMUP","Full body","Peso corporal","exercises"
"318","Caminata de oso","MOBILITY","Full body","Peso corporal","exercises"
"220","Sentadilla contra pared","REHABILITATION","Cuádriceps","Peso corporal","exercises"
"268","Sentadilla contra pared","FUNCTIONAL","Piernas","Pared","exercises"
"242","Plancha lateral","REHABILITATION","Core","Peso corporal","exercises"
"447","Plancha lateral","STRENGTH","Core","Peso corporal","newExercises"
"257","Shuffle reactivo","FUNCTIONAL","Tren inferior","Peso corporal","exercises"
"261","Shuffle reactivo","FUNCTIONAL","Full body","Peso corporal","exercises"
"279","Sprint en pendiente","FUNCTIONAL","Piernas","Pista","exercises"
"495","Sprint en pendiente","CARDIO","Piernas","Pista","newExercises"
"296","Mountain climber lento","MOBILITY","Core","Peso corporal","exercises"
"486","Mountain climber lento","CARDIO","Core","Peso corporal","newExercises"
"387","Sentadilla sissy","STRENGTH","Cuádriceps","Peso corporal","newExercises"
"653","Sentadilla sissy","BALANCE","Piernas","Peso corporal","newExercises"
"471","Step up lateral","CARDIO","Piernas","Banco","newExercises"
"534","Step-up lateral","FUNCTIONAL","Piernas","Banco","newExercises"
"591","Relajación progresiva de cuello","STRETCHING","Cuello","Peso corporal","newExercises"
"755","Relajación progresiva de cuello","COOLDOWN","Cuello","Peso corporal","newExercises"
