category,value,count
"type","STRENGTH","150"
"type","FUNCTIONAL","109"
"type","MOBILITY","95"
"type","STRETCHING","85"
"type","REHABILITATION","80"
"type","CARDIO","50"
"type","WARMUP","50"
"type","PLYOMETRIC","40"
"type","TECHNIQUE","40"
"type","COOLDOWN","37"
"type","BALANCE","35"
"type","OTHER","30"
"muscleGroup","Piernas","162"
"muscleGroup","Full body","141"
"muscleGroup","Core","80"
"muscleGroup","Espalda","68"
"muscleGroup","Hombros","67"
"muscleGroup","Cadera","38"
"muscleGroup","Pecho","35"
"muscleGroup","Cuádriceps","25"
"muscleGroup","Cuello","24"
"muscleGroup","Glúteos","17"
"muscleGroup","Tríceps","16"
"muscleGroup","Bíceps","14"
"muscleGroup","Tobillos","14"
"muscleGroup","Pantorrilla","13"
"muscleGroup","Columna torácica","12"
"muscleGroup","Columna Lumbar","9"
"muscleGroup","Isquiotibiales","9"
"muscleGroup","Femoral","7"
"muscleGroup","Antebrazos","7"
"muscleGroup","Tren inferior","7"
"muscleGroup","Espalda alta","5"
"muscleGroup","Tren superior","5"
"muscleGroup","Muñecas","5"
"muscleGroup","Escápulas","4"
"muscleGroup","Columna","4"
"muscleGroup","Pies","3"
"muscleGroup","Tibial anterior","2"
"muscleGroup","Flexores de cadera","2"
"muscleGroup","Aductores","2"
"muscleGroup","Serrato anterior","2"
"muscleGroup","Mental","1"
"muscleGroup","Piso pélvico","1"
"equipment","Peso corporal","424"
"equipment","Barra","52"
"equipment","Banda","45"
"equipment","Mancuernas","34"
"equipment","Kettlebell","22"
"equipment","Mancuerna","18"
"equipment","Palo","17"
"equipment","Cajón pliométrico","15"
"equipment","Banco","13"
"equipment","Foam roller","10"
"equipment","Bosu","8"
"equipment","Fitball","7"
"equipment","TRX","7"
"equipment","Bicicleta","6"
"equipment","Cuerdas","6"
"equipment","Pared","6"
"equipment","Balón medicinal","6"
"equipment","Polea alta","6"
"equipment","Polea","5"
"equipment","Máquina","5"
"equipment","Pista","5"
"equipment","Cinta","4"
"equipment","Pelota","4"
"equipment","Polea baja","4"
"equipment","Trineo (sled)","4"
"equipment","Sandbag","4"
"equipment","Soga","3"
"equipment","Cajón","3"
"equipment","Barra de dominadas","3"
"equipment","Máquina de remo","3"
"equipment","Paralelas","2"
"equipment","Trineo","2"
"equipment","Step","2"
"equipment","Máquina de jalón","2"
"equipment","Banco de hiperextensiones","2"
"equipment","Máquina de extensión de cuádriceps","2"
"equipment","Máquina de curl femoral","2"
"equipment","Landmine","2"
"equipment","Poleas bajas","2"
"equipment","Banco plano","2"
"equipment","Máquina Smith","2"
"equipment","Vallas","2"
"equipment","Elíptica","1"
"equipment","Remo","1"
"equipment","Balón","1"
"equipment","Puerta","1"
"equipment","Neumático","1"
"equipment","Escalera de agilidad","1"
"equipment","Plataforma","1"
"equipment","Escalera de coordinación","1"
"equipment","Bancos","1"
"equipment","Máquina de aperturas","1"
"equipment","Máquina de hip thrust","1"
"equipment","Banco inclinado","1"
"equipment","Máquina de pull-over","1"
"equipment","Máquina de press de hombros","1"
"equipment","Máquina de pantorrilla sentado","1"
"equipment","Banco de hiperextensiones 45°","1"
"equipment","Poleas altas","1"
"equipment","Barra fija","1"
"equipment","Máquina de elevación lateral","1"
"equipment","Máquina de patada de tríceps","1"
"equipment","Máquina de prensa inclinada","1"
"equipment","Máquina de pájaro","1"
"equipment","Máquina de prensa","1"
"equipment","Banco declinado","1"
"equipment","Máquina escaladora","1"
"equipment","Mancuerna ligera","1"
"equipment","Trineo (sled) con cuerda","1"
"equipment","Paracaídas de resistencia","1"
