severity,index,name,issue,value,duplicateCount,similarity,keyword,equipment
"WARNING","196","Deslizamiento escapular en pared","DUPLICATE_TAGS","","","","",""
"WARNING","200","Deslizamiento escapular con activación del serrato","DUPLICATE_TAGS","","","","",""
"WARNING","203","Empuje escapular acostado","DUPLICATE_TAGS","","","","",""
"WARNING","205","Rotación externa de hombro con banda","DUPLICATE_TAGS","","","","",""
"WARNING","206","Deslizamientos de hombros contra pared","DUPLICATE_TAGS","","","","",""
"WARNING","213","Extensión de hombros con banda","DUPLICATE_TAGS","","","","",""
"WARNING","218","Puente con foco en isquiotibiales","DUPLICATE_TAGS","","","","",""
"WARNING","221","Sentadilla con talones elevados","DUPLICATE_TAGS","","","","",""
"WARNING","293","Puente alternando piernas","DUPLICATE_TAGS","","","","",""
"WARNING","302","Puente de glúteos controlado","DUPLICATE_TAGS","","","","",""
"WARNING","37","Elevación de talones","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","292","Elevación de talones","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","48","Burpees","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","282","Burpees","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","53","Turkish get-up","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","247","Turkish Get Up","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","65","Gato-vaca","DUPLICATE_NAME_DIFFERENT_DATA","","3","","",""
"WARNING","237","Gato vaca","DUPLICATE_NAME_DIFFERENT_DATA","","3","","",""
"WARNING","334","Gato-vaca","DUPLICATE_NAME_DIFFERENT_DATA","","3","","",""
"WARNING","75","Estiramiento de hombros","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","153","Estiramiento de hombros","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","78","Estiramiento de espalda","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","152","Estiramiento de espalda","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","80","Postura del niño","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","109","Postura del Niño","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","86","Estiramiento de Glúteos acostado","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","111","Estiramiento de Glúteos acostado","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","92","Rotación de Cuello","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","562","Rotación de cuello","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","104","Estiramiento de Isquiotibiales sentado","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","107","Estiramiento de Isquiotibiales sentado","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","145","Rotaciones de cuello","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","189","Rotaciones de cuello","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","147","Caminata de oso","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","318","Caminata de oso","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","220","Sentadilla contra pared","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","268","Sentadilla contra pared","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","242","Plancha lateral","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","447","Plancha lateral","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","257","Shuffle reactivo","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","261","Shuffle reactivo","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","279","Sprint en pendiente","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","495","Sprint en pendiente","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","296","Mountain climber lento","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","486","Mountain climber lento","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","387","Sentadilla sissy","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","653","Sentadilla sissy","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","471","Step up lateral","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","534","Step-up lateral","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","591","Relajación progresiva de cuello","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","755","Relajación progresiva de cuello","DUPLICATE_NAME_DIFFERENT_DATA","","2","","",""
"WARNING","7","Pull-over","GENERIC_DESCRIPTION","","","","",""
"WARNING","20","Face pull","GENERIC_DESCRIPTION","","","","",""
"WARNING","27","Extensiones en polea","GENERIC_DESCRIPTION","","","","",""
"WARNING","117","Salto al cajón","LOW_NAME_DESCRIPTION_RELATION","","","0.048","",""
